"Longitude"	"Latitude"	"Date"	"Nkill"
"299"	44.7316915915644	13.6967863652308	"2010-12-14"	0
"300"	44.7373850079061	13.7027845123882	"2012-03-31"	1
"301"	44.7224885633023	13.6986552848626	"2012-03-31"	3
"302"	44.7345465465257	13.6960488955077	"2012-07-16"	0
"303"	44.7254744307784	13.6963698935375	"2012-07-17"	0
"304"	44.7240429351101	13.6925181649957	"2012-07-20"	0
"305"	44.7379717292283	13.6948884928666	"2012-08-17"	0
"306"	44.7222798260203	13.7050858739862	"2012-12-03"	0
"307"	8.08035631809243	5.92392079593644	"2013-01-19"	10
"308"	70.2053164828144	34.2553463628933	"2012-03-13"	0
"309"	72.1645914928108	33.9947311628369	"2012-10-03"	0
"310"	38.7541423480373	8.98365093876552	"2008-05-20"	6
"311"	38.7447498516531	9.0168990341506	"2013-08-16"	0
"312"	38.7990237305837	8.98004970096943	"2013-10-13"	2
"313"	5.75854458266869	5.67370399318095	"2005-12-26"	NA
"314"	4.65703248100412	36.6805067360721	"2005-01-19"	1
"315"	4.65966033146308	36.6901737334434	"2006-09-02"	4
"316"	4.67287558977868	36.6854431981681	"2010-09-11"	0
"317"	45.0366165819534	12.8118190242012	"2008-05-30"	0
"318"	45.0320066764255	12.8051377379742	"2010-05-10"	1
"319"	45.042239858243	12.8154512238211	"2010-06-19"	13
"320"	45.0290432243518	12.8188135663035	"2010-10-11"	2
"321"	45.0411025855507	12.8116585314029	"2011-04-28"	1
"322"	45.0329051286311	12.8102544743229	"2011-04-28"	0
"323"	45.0257527572059	12.8162076391966	"2011-05-17"	0
"324"	45.0338165756085	12.8147546580002	"2011-06-05"	0
"325"	45.0378769415015	12.8119894053356	"2011-06-13"	1
"326"	45.0141437049109	12.7891633873322	"2011-06-16"	0
"327"	45.0380176635415	12.8205093054042	"2011-06-24"	5
"328"	45.02550039419	12.8165133191121	"2011-06-28"	1
"329"	45.0107684015894	12.7792050726228	"2011-07-20"	1
"330"	45.0350453283501	12.8083251473575	"2011-07-24"	6
"331"	45.0053501638669	12.7817032816616	"2011-08-09"	0
"332"	45.0245029763275	12.8092893390578	"2011-09-11"	1
"333"	45.036082754969	12.8109353162196	"2011-09-15"	2
"334"	45.0359435538392	12.8136587214039	"2011-09-15"	0
"335"	45.0383730115186	12.8135481754306	"2011-09-27"	1
"336"	45.0329645424665	12.8203298996982	"2011-10-08"	0
"337"	44.9829090303915	12.7903069665162	"2011-10-11"	1
"338"	45.0279221182459	12.8188834801863	"2011-10-15"	0
"339"	45.0352510482215	12.8146745938516	"2011-10-28"	1
"340"	45.0253486017047	12.8201536158274	"2011-10-30"	1
"341"	45.0414073085927	12.8050106734211	"2011-11-16"	1
"342"	45.0302130435541	12.7972962223738	"2012-01-04"	2
"343"	45.0246608370583	12.7925264981389	"2012-01-11"	1
"344"	45.0353197065735	12.8061633570585	"2012-01-18"	0
"345"	45.0321891052969	12.8044778707111	"2012-01-20"	3
"346"	45.0287462089646	12.8083953676526	"2012-02-15"	0
"347"	45.0412629901845	12.8022272271197	"2012-03-01"	0
"348"	45.0337596189365	12.794622327853	"2012-03-08"	0
"349"	45.031631988617	12.7903426647885	"2012-03-14"	1
"350"	45.0363457767846	12.7950137008371	"2012-03-14"	1
"351"	45.0383764763357	12.7933019264275	"2012-03-28"	NA
"352"	45.0350156355783	12.7997258721525	"2012-03-30"	0
"353"	45.0252154444572	12.805521759172	"2012-05-13"	0
"354"	45.0371401770547	12.8091209028615	"2012-05-15"	0
"355"	45.031457560141	12.7921744930325	"2012-05-18"	0
"356"	45.0245680984989	12.7977293732157	"2012-05-29"	4
"357"	45.0250732644735	12.801237850464	"2012-06-06"	2
"358"	45.0432546092145	12.7941767692892	"2012-06-15"	0
"359"	45.0326511399256	12.7910420882702	"2012-06-18"	4
"360"	45.0393991148373	12.7954937895993	"2012-07-19"	1
"361"	45.0284740912396	12.8037003723299	"2012-07-19"	0
"362"	45.0357458035549	12.7985087415623	"2012-07-22"	0
"363"	45.0244005640823	12.7971079109889	"2012-07-24"	0
